"36","Awakening Dream","0","large","Stamile","stamile","1995","This flower is a creamy yellow with a striking purple eye and a purple picotee edge.","26","5","t","e","m","6.50","1","6"
"37","Awash with Colour","0","large","Stamile","stamile","1994","A blend of rose pink and mauve these are full, very ruffled flowers","32","6","t","e","m","5.00","1","10"
"38","Aztec Furnace","0","large","Stamile","stamile","1987","This daylily is a fiery blend of burnt orange and russet red.","27","5","t","d","e,m","4.00","1","4"
"39","Bandit Man","2018","large","Stevens","stevens","1979","A burnt orange flower with a bold red eye and a gold throat.","28","6","t","d","m","4.00","1","10"
"40","Barbara Alsop","0","large","Owen, P.","owen-p","2012","Mauve with a large lavender purple eyezone and edge. Named after a very special lady who did so much for the British Hosta and Hemerocallis Society.","38","7","t","s","e,m","10.00","0","0"
"41","Barbara Mitchell","0","large","Pierce","pierce","1984","A superbly formed pink flower with wide, overlapping petals. Stout Medal winner in 1992 and still very popular.","20","5","d","s","m","5.00","1","3"
"42","Bayou Bride","0","large","Salter","salter","1995","Pale cream flower with purple eye and green throat. Edged in gold on warmer days. ","25","5","t","s","m","6.50","1","7"
"43","Beautiful Edgings","0","large","Copenhaver","copenhaver","1989","A well named daylily, with ruffled cream flowers turning mauve pink towards the edge.","30","7","d","s","m","5.50","1","8"
"44","Beauty to Behold","0","large","Sellers","sellers","1978","A ruffled and recurved flower of lemon yellow with a green throat. Long flowering season.","24","5","d","s","m","4.00","1","7"
"45","Becky Lynn","0","large","Guidry","guidry","1977","A gorgeous ruffled flower of deep pink with a green throat and white midribs. Awarded the Stout Medal in 1989.","20","7","d","e","e","4.50","0","0"
"46","Bedarra Island","2018","large","Smith, S.P.","smith-s-p","1981","A sunfast medium red with a yellow to green throat. Strong and vigorous.","28","6","t","s","e,m","4.00","1","6"
"47","Beijing","0","large","Munson, R.W.","munson-r-w","1987","Very ruffled flowers of pale pastel pink.","24","5","t","s","m","5.00","1","7"
"48","Bela Lugosi","0","large","Hanson","hanson","1995","A deep reddish purple flower with a green yellow throat.","33","6","t","s","m","6.50","1","4"
"49","Beloved Deceiver","0","large","Salter","salter","1996","Creamy white flower with a large pink-red eyezone and a green throat.","24","5","t","e","m,l","6.50","1","10"
"50","Ben Adams","0","large","Salter","salter","1994","A beautiful creamy yellow ruffled flower with a green throat. More cream than yellow when it is warm weather and vice versa when cool.","25","6","t","d","e,m","6.50","1","10"
"51","Benchmark","0","large","Munson, R.W.","munson-r-w","1980","A mauve lavender flower with pearly white midribs and a cream chartreuse throat. It is lightly ruffled and slightly triangular in form.","30","6","t","e","m","5.00","1","5"
"52","Berlin Red","0","large","Tamberg","tamberg","1983","A bright red flower with a yellow throat. A good strong daylily that always performs well here. ","30","6","t","d","m","4.50","1","10"
"53","Berlin Tallboy","0","large","Tamberg","tamberg","1989","Pale orange flower with a deeper halo. Very tall scapes.","72","6","t","d","m","6.00","0","0"
"54","Bernard Thompson","0","large","Coe","coe","1969","Bright golden orange blooms held aloft on tall scapes. Bred and raised in UK.","38","5","d","e","m,l","4.00","1","6"
"55","Bette Davis Eyes","0","large","Kirchhoff, D.","kirchhoff-d","1982","A buff pink flower with a grape purple eyezone and a yellow green throat.","23","6","d","e","e","4.00","1","10"
"56","Betty Benz","2018","large","Harris-Benz","harris-benz","1987","Beautiful cream pink flower with a bright green throat.","32","6","d","d","m","6.00","1","6"
"57","Betty Jenkins","0","large","Wilson","wilson","1989","An exquisitely beautiful rich pink ruffled flower. It would be even better if it was just a couple of inches taller.","22","7","d","s","e,m","6.00","0","0"
"58","Betty Warren Woods","0","large","Munson, R.W.","munson-r-w","1987","An immaculate,very ruffled cream yellow flower with lemon highlights and a small green throat. Often reblooms.","24","5","t","e","e,m","8.50","1","7"
"59","Betty Woods","0","large","Kirchhoff, D.","kirchhoff-d","1980","Vivid golden yellow double flowers. Long season of bloom when established. Stout Medal winner 1991","26","6","d","d","e","5.00","0","0"
"60","Big Apple ","2018","large","Sellers","sellers","1986","Cerise red flower with a prominent white to green throat.","26","5","d","s","e,m","4.50","1","9"
"61","Big Bird","0","large","Griesbach-Klehm","griesbach-klehm","1978","Quite a tall yellow daylily with a large unusual flower. An open, airy form, the flowers seem to float above the foliage.","34","7","t","d","e,m","5.00","1","6"
"62","Big Blue","2018","large","Stamile","stamile","1998","A large , very ruffled flower of lavender pink with a yellow green throat.","24","7","t","d","m","6.50","1","8"
"63","Big Snowbird","0","large","Millikan, B.","millikan-b","1990","A ruffled near white flower with a chartreuse throat.","28","6","d","d","m","6.00","1","8"
"64","Bill Norris","0","large","Kirchhoff, D.","kirchhoff-d","1993","Exquisitly formed, beautifully ruffled flowers of bright golden yellow.Stout Medal winner 2002.","29","5","t","s","e,m","6.00","0","0"
"65","Birthday Honours","2018","large","Lytton","lytton","2008","A superb, ruffled deep scarlet flower with a green throat. One of the best reds.","25","5","t","d","e,m","9.50","1","10"
"66","Black Adder","0","large","Wyers, J.","wyers-j","2006","A very dark red, or 'near black' flower with a yellow throat. Raised on the Isle of Wight.","42","5","t","s","m","8.50","1","4"
"67","Black Ambrosia","0","large","Salter","salter","1991","A very dark purple with a green throat surrounded by an almost black halo.","28","5","t","s","m","6.50","1","8"
"68","Black Eye ","0","large","Goldner","goldner","1984","A mauve pink flower with a deep purple eyezone.","30","5","t","d","m","4.50","1","5"
"69","Black Magic","0","large","Douglas","douglas","1949","A real old classic daylily in very dark red. Still popular.","38","5","d","d","m,l","3.00","1","8"
