47,Beijing,beijing,2013,1,"Munson, R.W.",munson-r-w,1987,Very ruffled flowers of pale pastel pink.,24,5,2,2,m,5,1,7
48,Bela Lugosi,bela-lugosi,2013,1,Hanson,hanson,1995,A deep reddish purple flower with a green yellow throat.,33,6,2,2,m,6.5,1,4
49,Beloved Deceiver,beloved-deceiver,2015,1,Salter,salter,1996,Creamy white flower with a large pink-red eyezone and a green throat.,24,4.5,2,1,"m,l",6.5,1,10
50,Ben Adams,ben-adams,2013,1,Salter,salter,1994,A beautiful creamy yellow ruffled flower with a green throat. More cream than yellow when it is warm weather and vice versa when cool.,25,5.5,2,3,"e,m",6.5,1,10
51,Benchmark,benchmark,2014,1,"Munson, R.W.",munson-r-w,1980,A mauve lavender flower with pearly white midribs and a cream chartreuse throat. It is lightly ruffled and slightly triangular in form.,30,6,2,1,m,5,1,5
52,Berlin Red,berlin-red,2014,1,Tamberg,tamberg,1983,A bright red flower with a yellow throat. A good strong daylily that always performs well here. ,30,6,2,3,m,4.5,1,10
53,Berlin Tallboy,berlin-tallboy,2014,1,Tamberg,tamberg,1989,Pale orange flower with a deeper halo. Very tall scapes.,72,6,2,3,m,6,0,0
54,Bernard Thompson,bernard-thompson,2012,1,Coe,coe,1969,Bright golden orange blooms held aloft on tall scapes. Bred and raised in UK.,38,5,1,1,"m,l",4,1,6
55,Bette Davis Eyes,bette-davis-eyes,2014,1,"Kirchhoff, D.",kirchhoff-d,1982,A buff pink flower with a grape purple eyezone and a yellow green throat.,23,5.5,1,1,e,4,1,10
56,Betty Benz,betty-benz,2018,1,Harris-Benz,harris-benz,1987,Beautiful cream pink flower with a bright green throat.,32,6,1,3,m,6,1,6
57,Betty Jenkins,betty-jenkins,2014,1,Wilson,wilson,1989,An exquisitely beautiful rich pink ruffled flower. It would be even better if it was just a couple of inches taller.,22,7,1,2,"e,m",6,0,0
58,Betty Warren Woods,betty-warren-woods,2014,1,"Munson, R.W.",munson-r-w,1987,"An immaculate,very ruffled cream yellow flower with lemon highlights and a small green throat. Often reblooms.",24,4.75,2,1,"e,m",8.5,1,7
59,Betty Woods,betty-woods,2014,1,"Kirchhoff, D.",kirchhoff-d,1980,Vivid golden yellow double flowers. Long season of bloom when established. Stout Medal winner 1991,26,5.5,1,3,e,5,0,0
60,Big Apple,big-apple,2018,1,Sellers,sellers,1986,Cerise red flower with a prominent white to green throat.,26,5,1,2,"e,m",4.5,1,9
61,Big Bird,big-bird,2013,1,Griesbach-Klehm,griesbach-klehm,1978,"Quite a tall yellow daylily with a large unusual flower. An open, airy form, the flowers seem to float above the foliage.",34,7,2,3,"e,m",5,1,6
62,Big Blue,big-blue,2018,1,Stamile,stamile,1998,"A large , very ruffled flower of lavender pink with a yellow green throat.",24,6.5,2,3,m,6.5,1,8
63,Big Snowbird,big-snowbird,2015,1,"Millikan, B.",millikan-b,1990,A ruffled near white flower with a chartreuse throat.,28,6,1,3,m,6,1,8
64,Bill Norris,bill-norris,2014,1,"Kirchhoff, D.",kirchhoff-d,1993,"Exquisitly formed, beautifully ruffled flowers of bright golden yellow.Stout Medal winner 2002.",29,5,2,2,"e,m",6,0,0
65,Birthday Honours,birthday-honours,2018,1,Lytton,lytton,2008,"A superb, ruffled deep scarlet flower with a green throat. One of the best reds.",25,5,2,3,"e,m",9.5,1,10
66,Black Adder,black-adder,2014,1,"Wyers, J.",wyers-j,2006,"A very dark red, or 'near black' flower with a yellow throat. Raised on the Isle of Wight.",42,5,2,2,m,8.5,1,4
67,Black Ambrosia,black-ambrosia,2014,1,Salter,salter,1991,A very dark purple with a green throat surrounded by an almost black halo.,28,5,2,2,m,6.5,1,8
68,Black Eye,black-eye,2014,1,Goldner,goldner,1984,A mauve pink flower with a deep purple eyezone.,30,5,2,3,m,4.5,1,5
69,Black Magic,black-magic,2012,1,Douglas,douglas,1949,A real old classic daylily in very dark red. Still popular.,38,5,1,3,"m,l",3,1,8
70,Blessed Again,blessed-again,2014,1,Benz,benz,1989,An ivory cream flower with lighter midribs and a green throat.,24,4.5,2,3,m,5,1,8
71,Blessing,blessing,2014,1,Applegate,applegate,1989,This delightful rose and cream bitone has darker pink veins and a yellow to green throat.,22,5.25,1,2,m,6.5,0,0
72,Blizzard Bay,blizzard-bay,2013,1,Salter,salter,1995,"One of the best 'near whites ' available, this flower has a narrow gold edge and a yellow to green throat.",28,6,2,2,l,7,1,3
73,Blonde is Beautiful,blonde-is-beautiful,2014,1,Harris-Benz,harris-benz,1985,"A full,ruffled, light creamy lemon yellow flower with a green throat.",28,6,2,2,m,4.5,1,10
74,Blood Spot,blood-spot,2015,1,"Millikan, B.",millikan-b,1983,A good blood red flower with a darker eye and a green yellow throat. A neat flower that shows up later in the summer.,25,4.5,2,2,"m,l",5,1,6
75,Blue Happiness,blue-happiness,2014,1,"Spalding, W.",spalding-w,1977,A ruffled pink beauty with a silky appearance. The colour deepens towards the petal edges and there is a faint darker halo around the yellow green throat.,21,7,1,2,e,5.5,0,0
76,Blushing Angel,blushing-angel,2014,1,Wild,wild,1972,A light lemon yellow flower with pink edges to both the sepals and petals. The flowers have a green throat and almost white midribs. This daylily may be old but it produces masses of flowers as the scapes (stems)are branched like a tree making it a valuable asset for breeders as well as a good garden plant. It is seldom offered for sale in the U.K.,26,5.5,1,3,m,4,1,1
77,Bonanza,bonanza,2014,1,Ferrick,ferrick,1954,"An old favourite, this distinctive orange-yellow flower has a strong maroon eyezone.",34,5,1,3,m,3,1,10
78,Booger,booger,2013,1,Durio,durio,1985,"This large pink flower has pearly white midribs, a small green yellow throat and is edged with piecrust ruffling.",26,6.5,2,1,"e,m",5.5,1,5
